code,total_area,surface_area,bom_total_cost,bom_source
BS-ET-16154,0.81,0.22,586.00,"Paint Epoxy Primer 58.79 Gram, Epoxy Thinner 11.58 Gram, Epoxy Hardner 17.82 Gram, Paint Mixing 20.62 Gram, Paint Matt agent(Matt) 11.33 Gram, Paint Harnder 10.16 Gram, Paint Thinner 5.81 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 586.00"
BS-QS-14719,10,1.56,2228.00,"Paint Epoxy Primer 248.77 Gram, Epoxy Thinner 52.56 Gram, Epoxy Hardner 49.05 Gram, Paint Mixing 79.96 Gram, Paint Matt agent(Matt) 39.98 Gram, Paint Harnder 39.98 Gram, Paint Thinner 32.36 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 2,228.00"
BS-US-500068,7.71,7.71,10530.00,"Paint Epoxy Primer 1109.96 Gram, Epoxy Thinner 234.5 Gram, Epoxy Hardner 218.86 Gram, Paint Mixing 0 Gram, Paint Matt agent(Matt) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Mixing 382.24 Gram, Paint Matt agent(Matt) 118.92 Gram, Paint Binder(Gloss) 76.45 Gram, Paint Harnder 195.37 Gram, Paint Thinner 76.45 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 10,530.00"
BS-ET-16234,1.17,1.33,,0
BS-ET-16241,1.22,0.27,850.00,"Paint Epoxy Primer 94.87 Gram, Epoxy Thinner 20.04 Gram, Epoxy Hardner 18.71 Gram, Paint Mixing 30.49 Gram, Paint Matt agent(Matt) 15.25 Gram, Paint Harnder 15.25 Gram, Paint Thinner 12.34 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 850.00"
BS-ET-16249,1.04,1.04,878.00,"Paint Epoxy Primer 88.19 Gram, Epoxy Thinner 17.37 Gram, Epoxy Hardner 26.72 Gram, Paint Mixing 30.93 Gram, Paint Matt agent(Matt) 16.99 Gram, Paint Harnder 15.25 Gram, Paint Thinner 8.71 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 Gram | Total: 878.00"
BS-LHET-286,1,0.99,1576.00,"Paint Epoxy Primer 175.94 Gram, Epoxy Thinner 37.17 Gram, Epoxy Hardner 34.69 Gram, Paint Mixing 56.55 Gram, Paint Matt agent(Matt) 28.27 Gram, Paint Harnder 28.27 Gram, Paint Thinner 22.89 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 Gram | Total: 1,576.00"
BS-LHET-305,4.43,4.43,3847.00,"Paint Epoxy Primer 429.49 Gram, Epoxy Thinner 90.74 Gram, Epoxy Hardner 84.69 Gram, Paint Mixing 138.05 Gram, Paint Matt agent(Matt) 69.02 Gram, Paint Harnder 69.02 Gram, Paint Thinner 55.88 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 Gram | Total: 3,847.00"
BS-SM-16231,19,19,11375.00,"Paint Epoxy Primer 1269.7 Gram, Epoxy Thinner 268.25 Gram, Epoxy Hardner 250.36 Gram, Paint Mixing 408.1 Gram, Paint Matt agent(Matt) 204.05 Gram, Paint Harnder 204.05 Gram, Paint Thinner 165.18 Gram, Paint Mixing 0 Gram, Paint Binder(Gloss) 0 Gram, Paint Harnder 0 Gram, Paint Thinner 0 Gram, Paint Miscellaneous cost 1 | Total: 11,375.00"
BS-S.inc-16225,4.28,0.91,16150.00,"Epoxy Primer 1702.07 Gram, Epoxy Thinner 359.59 Gram, Epoxy Hardner 335.62 Gram, Paint Mixing, Paint Matt agent(Matt), Paint Harnder, Paint Thinner, Paint Mixing 586.15 Gram, Paint Matt agent(Matt) 182.36 Gram, Paint Binder(Gloss) 117.23 Gram, Paint Harnder 299.59 Gram, Paint Thinner 117.23 Gram, Paint Mixing, Paint Binder(Gloss), Paint Harnder, Paint Thinner, Paint Miscellaneous cost 1.00 | Total: 16,150.00"
