code,hex,lab_l,lab_a,lab_b
"PANTONE 1255 C",#B28423,58,9,55
"PANTONE 126 C",#9F7517,52,8,53
"PANTONE 1265 C",#8B6A28,47,6,41
"PANTONE 127 C",#FCDE70,89,-3,57
"PANTONE 128 C",#FBD451,86,0,67
"PANTONE 129 C",#F9CD42,84,2,71
"PANTONE 130 C",#F8A90E,75,19,77
"PANTONE 131 C",#D1890A,63,19,67
"PANTONE 132 C",#A57208,52,12,57
"PANTONE 133 C",#6E561C,38,3,36
"PANTONE 134 C",#FFD374,87,7,53
"PANTONE 1345 C",#FFCF88,86,9,42
"PANTONE 135 C",#FFC75B,84,12,61
"PANTONE 1355 C",#FFC671,84,14,51
"PANTONE 136 C",#FFBF43,82,15,69
"PANTONE 1365 C",#FFB34C,79,20,62
"PANTONE 137 C",#FFA30B,75,27,78
"PANTONE 1375 C",#FF9D22,74,31,73
"PANTONE 138 C",#E27B06,62,34,68
"PANTONE 1385 C",#D97806,60,32,66
"PANTONE 139 C",#B26C07,52,22,58
"PANTONE 1395 C",#9B5F19,46,19,47
"PANTONE 140 C",#76531F,38,9,35
"PANTONE 1405 C",#714E20,36,10,32
"PANTONE 141 C",#F8C861,83,6,57
"PANTONE 142 C",#F7BD4C,80,10,63
"PANTONE 143 C",#F8B53A,78,14,68
"PANTONE 144 C",#F38C0D,68,32,72
"PANTONE 145 C",#D47F08,61,26,66
"PANTONE 146 C",#AC6E16,52,18,54
"PANTONE 147 C",#765D2D,41,4,31
"PANTONE 148 C",#FFCA8B,85,12,39
"PANTONE 1485 C",#FFAD64,78,25,50
"PANTONE 149 C",#FFC17E,83,17,43
"PANTONE 1495 C",#FF9020,71,37,71
"PANTONE 150 C",#FFB25C,79,22,55
"PANTONE 1505 C",#FF6800,63,55,72
"PANTONE 151 C",#FF8107,68,44,74
"PANTONE 152 C",#EA7105,61,42,68
"PANTONE 1525 C",#BB4802,46,44,56
"PANTONE 153 C",#C36A19,54,30,56
"PANTONE 1535 C",#95450D,39,31,45
"PANTONE 154 C",#9D5A1C,45,23,45
"PANTONE 1545 C",#663919,29,17,28
"PANTONE 155 C",#F2CFA0,85,6,28
"PANTONE 1555 C",#FFB992,81,22,30
"PANTONE 156 C",#F1BD7E,80,11,39
"PANTONE 1565 C",#FFA06B,75,32,43
"PANTONE 157 C",#F0A257,73,22,50
"PANTONE 1575 C",#FF8033,68,46,62
"PANTONE 158 C",#EE7724,63,41,62
"PANTONE 1585 C",#FF6B15,64,55,69
"PANTONE 159 C",#D06118,54,40,57
"PANTONE 1595 C",#DC6119,56,45,59
"PANTONE 160 C",#A3561D,45,28,45
"PANTONE 1605 C",#AA5624,46,31,43
"PANTONE 161 C",#633E22,30,13,24
"PANTONE 1615 C",#8F4823,39,27,35
"PANTONE 162 C",#FFBFA3,83,21,24
"PANTONE 1625 C",#FFA38B,76,32,27
"PANTONE 163 C",#FF9D6E,74,33,40
"PANTONE 1635 C",#FF8E6F,71,41,36
"PANTONE 164 C",#FF8043,68,46,55
"PANTONE 1645 C",#FF6B3E,64,55,53
"PANTONE 165 C",#FF6A22,64,56,65
"PANTONE 1655 C",#FF4E00,59,65,70
"PANTONE 166 C",#E65206,55,55,64
"PANTONE 1665 C",#E04505,52,58,62
"PANTONE 167 C",#C2521E,49,42,50
"PANTONE 1675 C",#AD441E,43,41,43
"PANTONE 168 C",#773B1E,32,24,29
"PANTONE 1685 C",#843A1E,34,30,32
"PANTONE 169 C",#FFB3AA,80,27,16
"PANTONE 170 C",#FF8775,70,45,31
"PANTONE 171 C",#FF5E3A,62,61,53
"PANTONE 172 C",#FF4817,58,67,64
"PANTONE 173 C",#D24720,50,53,51
"PANTONE 174 C",#983822,37,39,34
"PANTONE 175 C",#6C342A,29,24,18
"PANTONE 176 C",#FFB1BC,80,30,6
"PANTONE 1765 C",#FFA5B4,77,35,6
"PANTONE 1767 C",#FBAFBF,79,30,3
"PANTONE 177 C",#FF828C,69,49,17
"PANTONE 1775 C",#FF8EA2,72,45,9
"PANTONE 1777 C",#FD647D,63,60,17
"PANTONE 178 C",#FF5B5E,62,64,34
"PANTONE 1785 C",#FB485F,58,68,28
"PANTONE 1787 C",#F6384C,55,71,35
"PANTONE 1788 C",#EF2837,52,72,43
"PANTONE 179 C",#E43D32,52,63,45
"PANTONE 1795 C",#D62830,47,65,40
"PANTONE 1797 C",#CE363C,47,59,33
"PANTONE 180 C",#BF3C35,45,52,34
"PANTONE 1805 C",#B22A2F,40,54,31
"PANTONE 1807 C",#A7373B,40,46,23
"PANTONE 181 C",#81312E,32,34,20
"PANTONE 1815 C",#7D2529,29,38,19
"PANTONE 1817 C",#663337,28,23,8
"PANTONE 182 C",#FABBCD,82,25,0
"PANTONE 183 C",#FE9DB3,75,39,4
"PANTONE 184 C",#F65374,59,64,17
"PANTONE 185 C",#E80E2B,49,74,46
"PANTONE 186 C",#CD182F,44,66,37
"PANTONE 187 C",#A91D2F,37,55,27
"PANTONE 188 C",#782430,28,37,13
"PANTONE 189 C",#F7A4BB,76,34,1
"PANTONE 1895 C",#F6B8D0,81,26,-3
"PANTONE 190 C",#F7779A,66,52,5
"PANTONE 1905 C",#F59CBB,74,37,-2
"PANTONE 191 C",#F1436E,56,68,16
"PANTONE 1915 C",#F15080,58,65,8
"PANTONE 192 C",#E51147,49,74,30
"PANTONE 1925 C",#E10A4D,48,74,25
"PANTONE 193 C",#C2173E,42,64,25
"PANTONE 1935 C",#C6073D,42,67,26
"PANTONE 194 C",#9C2842,36,49,13
"PANTONE 1945 C",#A7113D,36,58,17
"PANTONE 195 C",#7A3041,31,34,6
"PANTONE 1955 C",#8D183A,31,49,11
"PANTONE 196 C",#EEC8CE,84,14,2
"PANTONE 197 C",#E69CAE,72,30,2
"PANTONE 198 C",#E24A62,54,60,20
"PANTONE 199 C",#D90A32,46,71,38
"PANTONE 200 C",#BC0F2E,40,63,32
"PANTONE 2001 C",#FCE49A,91,-2,39
"PANTONE 2002 C",#FEE17D,90,-2,52
"PANTONE 2003 C",#FFE16A,90,-3,61
"PANTONE 2004 C",#FFDC7D,89,1,51
"PANTONE 2005 C",#FFD783,88,5,47
"PANTONE 2006 C",#F0BC52,79,8,59
"PANTONE 2007 C",#E5A52B,72,14,67
"PANTONE 2008 C",#F4C171,81,9,47
"PANTONE 2009 C",#F4B563,78,14,50
"PANTONE 201 C",#9F2636,36,50,21
"PANTONE 2010 C",#FFAF14,78,22,79
"PANTONE 2011 C",#F29A35,71,25,63
"PANTONE 2012 C",#F49509,70,28,74
"PANTONE 2013 C",#FF9909,73,33,77
"PANTONE 2014 C",#BB6F01,54,24,61
"PANTONE 2015 C",#FCCFAA,86,11,24
"PANTONE 2016 C",#FFB575,80,22,44
"PANTONE 2017 C",#FCAC6F,77,23,43
"PANTONE 2018 C",#FF7705,66,49,73
"PANTONE 2019 C",#DC6C06,58,39,65
"PANTONE 202 C",#882934,32,41,16
"PANTONE 2020 C",#C05402,49,40,58
"PANTONE 2021 C",#A14A18,42,33,44
"PANTONE 2022 C",#FCAA8E,77,27,27
"PANTONE 2023 C",#FF9471,72,37,36
"PANTONE 2024 C",#FD7F58,67,45,43
"PANTONE 2025 C",#FF8A3E,70,41,59
"PANTONE 2026 C",#F8633D,61,55,50
"PANTONE 2027 C",#EF533F,57,59,44
"PANTONE 2028 C",#EE3800,53,67,65
"PANTONE 2029 C",#F38280,67,43,21
"PANTONE 203 C",#EBB5CC,79,23,-4
"PANTONE 2030 C",#DD7974,62,38,20
"PANTONE 2031 C",#D96A66,58,43,23
"PANTONE 2032 C",#D35B57,54,47,26
"PANTONE 2033 C",#C94845,49,51,30
"PANTONE 2034 C",#E83F3C,53,64,41
"PANTONE 2035 C",#DA0F1A,46,70,51
"PANTONE 2036 C",#F8BFD7,83,24,-4
"PANTONE 2037 C",#F198C8,73,40,-11
"PANTONE 2038 C",#ED61A1,61,60,-7
"PANTONE 2039 C",#E63D87,54,69,-2
"PANTONE 204 C",#E681A7,66,43,-3
"PANTONE 2040 C",#DD195B,48,72,16
"PANTONE 2041 C",#A22550,37,53,6
"PANTONE 2042 C",#702A3F,28,33,3
"PANTONE 2043 C",#E9C5D3,83,15,-2
"PANTONE 2044 C",#E493B5,70,35,-5
"PANTONE 2045 C",#DC75A0,62,45,-5
"PANTONE 2046 C",#CD598A,54,51,-4
"PANTONE 2047 C",#A74770,44,44,-4
"PANTONE 2048 C",#963C64,39,42,-4
"PANTONE 2049 C",#852E4D,33,40,1
"PANTONE 205 C",#E0497B,54,62,5
"PANTONE 2050 C",#ECD7E6,88,10,-5
"PANTONE 2051 C",#DBC3D1,81,11,-4
"PANTONE 2052 C",#C5A1B6,70,17,-6
"PANTONE 2053 C",#B0809D,59,23,-8
"PANTONE 2054 C",#9D728B,53,21,-7
